\\Bb1,bb2,bb3,bb4,bb5,h1,h2,h3,h4,h5,p1,p2,p3,p4,p5]
379,8,305,11,7,404,258,10,8,1369,97,156,69,178,68]
178,213,219,226,149,142,235,172,449,221,378,269,277,101,167]
141,298,292,528,322,119,53,952,61,220,45,66,88,118,97]
622,5,36,2,1,304,789,5,221,102,214,593,100,225,254]
128,152,130,289,91,473,316,82,256,836,177,186,167,91,128]
167,356,325,433,294,50,24,450,218,59,276,219,325,164,198]
182,330,110,531,344,21,25,257,762,48,268,260,221,74,181]
285,284,253,414,272,148,263,141,384,159,322,257,157,170,232]
106,476,163,934,666,42,35,608,208,59,150,101,119,37,42]
123,391,246,903,327,118,52,1084,53,166,168,55,132,34,83]
599,18,88,49,40,454,447,32,151,613,511,497,162,227,261]
127,281,235,564,385,157,147,348,308,239,409,246,309,203,211]
459,22,142,7,20,186,706,7,579,117,577,763,206,364,275]
180,203,636,209,320,8,8,259,376,15,783,480,752,105,263]
128,87,97,198,78,634,326,465,24,2376,27,39,34,99,71]
60,373,122,863,438,283,146,587,264,726,146,204,277,97,293]
362,151,529,144,128,362,226,364,210,523,475,407,476,297,385]
28,690,22,1162,748,17,16,2143,88,31,20,27,31,23,46]
246,294,209,585,375,337,166,301,866,551,537,313,438,216,149]
440,9,113,14,3,992,1173,9,298,669,499,540,270,275,297]
111,97,259,444,158,2663,908,101,56,884,16,21,24,28,12]
206,767,133,1249,996,469,290,735,135,521,87,81,113,43,43]
1215,183,263,228,81,248,152,104,48,348,419,621,419,766,821]
127,12,35,35,5,34,308,8,43,44,6,48,13,4902,344]
676,31,121,69,22,570,419,22,136,441,375,964,306,1202,806]
733,77,85,138,100,459,634,24,739,234,497,1170,613,570,890]
484,333,544,701,702,883,573,676,568,913,271,269,180,417,373]
613,304,323,567,298,458,1061,224,1208,533,339,693,413,374,488]
10,20,14,134,38,2176,1541,45,8,4118,4,8,15,18,6]
950,77,182,77,83,397,685,96,902,194,1470,1547,458,608,567]
2163,48,432,89,78,160,565,76,842,137,169,647,222,2015,696]
494,692,632,1100,833,115,694,961,1125,117,691,555,332,204,317]
449,653,1187,1263,635,181,125,1324,96,474,190,396,373,852,670]
920,57,146,134,38,930,1617,36,1089,1169,600,1087,298,1011,504]
1161,21,222,26,22,577,1615,10,818,424,597,1354,606,1096,1179]
678,17,429,9,12,597,540,13,930,210,2943,1940,730,256,570]
607,853,415,1134,878,626,433,570,1041,577,923,625,565,205,464]
765,673,759,706,497,413,331,506,192,617,486,846,489,1931,904]
1039,374,424,398,1707,943,671,978,755,1049,277,622,365,416,355]
772,405,231,532,545,700,558,669,2156,1042,1225,970,411,523,739]
628,412,756,572,358,49,97,393,1720,75,4200,1057,933,242,404]
